Area Id, Area Name,Client Id
510001, HUBLI,1
520001, HUBLI,1
520002, HAVERI,1
520003, SIRSI,1
530001, HUBLI-URBAN DIVISION,1
530003, DHARWAD-URBAN DIVISION,1
530005, GADAG,1
530006, HAVERI,1
530007, RANEBENNUR,1
530008, SIRSI,1
530009, KARWAR,1
540001, CSD-3 HUBLI,1
540002, CSD-2 HUBLI,1
540004, CSD-1 HUBLI,1
540006, CSD-1 DHARWAD,1
540008, CSD-2 DHARWAD,1
540011, CSD GADAG,1
540014, LAKSHMESHVAR SUB-DIVISION,1
540015, NARGUND SUB-DIVISION,1
540018, HAVERI SUB-DIVISION,1
540020, SAVANUR SUB-DIVISION,1
540022, RANEBENNUR-1 SUB-DIVISION,1
540026, SIRSI SUB-DIVISION,1
540030, DANDELI SUB-DIVISION,1
540032, KARWAR SUB-DIVISION,1
540034, KUMTA SUB-DIVISION,1
540036, BHATKAL SUB-DIVISION,1
550001, INDUSTRIAL ESTATE,1
550002, NAVANAGAR,1
550003, CHANAKYAPURI,1
550004, MANTUR ROAD,1
550007, KESHVAPUR,1
550008, VISHWESHWARNAGAR,1
550009, BANKAPUR CHOWK,1
550010, VIDHYUTNAGAR,1
550013, SAPTHAPUR,1
550014, VIDYAGERI,1
550015, SATTUR,1
550018, SADHANAKERI,1
550019, VIJAYA TALKIES,1
550020, GANDHI CHOWK,1
550029, MULGUND NAKA,1
550030, MASARI-1,1
550031, MASARI-2,1
550032, BETIGERI,1
550039, LAKSHMESHVAR-URBAN,1
550043, NARGUND-URBAN,1
550051, HAVERI-URBAN-1,1
550052, HAVERI-URBAN-2,1
550065, SAVANUR-URBAN,1
550072, RANEBENNUR-1,1
550073, RANEBENNUR-2,1
550090, SIRSI-URBAN,1
550104, DANDELI-URBAN,1
550109, KARWAR-1,1
550110, KARWAR-2,1
550111, SIDDAR,1
550119, KUMTA-URBAN,1
550128, BHATKAL-URBAN,1
590002, HAVERI,1
590003, HUBLI,1
590004, DHARWAD URBAN,1
590007, KARWAR,1
590008, RANEBENNUR,1
590009, SIRSI,1
590016, GADAG,1
6110201, HUBLIRSD,1
6110202, KUNDGOL,1
6110203, NAVALGUND,1
6110204, ANNIGERIACSECTION,1
6110401, DHARWADRSD,1
6110402, KALAGHATAGI,1
6110403, ALNAWAR,1
6110502, GADAGRSD,1
6110503, LAXMESHWAR,1
6110504, SHIRAHATTIACSECTION,1
6110505, MUNDARGI,1
6110605, NARAGUND,1
6110604, GAJENDRAGAD,1
6110601, RON,1
6110603, NAREGALACSECTION,1
6110602, HOLEALURACSECTION,1
6120101, HAVERI,1
6120102, GUTTALACSECTION,1
6120103, HANAGAL,1
6120104, AKKIALURACSECTION,1
6120105, SHIGGAON,1
6120106, BANKAPURACSECTION,1
6120107, SAVANUR,1
6120201, RANEBENNURUSD,1
6120202, RANEBENNURRSD,1
6120203, CHALAGERIACSECTION,1
6120204, HALAGERIACSECTION,1
6120205, HIREKERUR,1
6120206, HAUNSBHAVIACSECTION,1
6120207, RATTIHALLIACSECTION,1
6120208, BYADGI,1
6130101, KARWAR,1
6130102, SADASHIVGADACSECTION,1
6130103, ANKOLA,1
6130302, KUMTA,1
6130301, HONNAVAR,1
6130303, BHATKAL,1
6130202, SIRSIRSD,1
6130203, SIDDAPUR,1
6130204, YELLAPUR,1
6130205, MUNDAGOD,1
6130401, DANDELI,1
6130402, HALIYAL,1
6210201, BELAGAVIRSD1,1
6210202, BELAGAVIRSD2,1
6210204, HIREBAGEWADIACSECTION,1
6210203, KHANAPUR,1
6210301, BAILHONGAL,1
6210302, KITTUR,1
6210309, MKHUBLI,1
6210303, SOUDATTI,1
6210304, MUNAVALLIACSECTION,1
6210305, MURGODACSECTION,1
6210306, YARAGATTIACSECTION,1
6210401, GHATAPRABHA,1
6210402, MUDALAGIACSECTION,1
6210403, KULAGODACSECTION,1
6210404, GOKAK,1
6210405, ANKALAGIACSECTION,1
6210501, RAMADUGRA,1
6210502, KATAKOLACSECTION,1
6220101, CHIKODI,1
6220102, ANKALIACSECTION,1
6220103, NIPPANI,1
6220104, SADALAGA,1
6220105, BHOJACSECTION,1
6220201, ATHANI,1
6220202, AIGALI,1
6220203, UGAR,1
6220204, AINAPURACSECTION,1
6220205, KAGWADACSECTION,1
6220301, RAIBAG,1
6220302, KUDACHIACSECTION,1
6220303, HARUGERI,1
6230101, BIJAPURRSD,1
6230102, BABALESHWAR,1
6230201, INDI,1
6230202, CHADCHAN,1
6230203, SINDAGI,1
6230204, DEVARHIPPARGI,1
6230205, KORAWARACSECTION,1
6230301, BASAVANABAGEWADI,1
6230302, NIDAGUNDI,1
6230303, MUDDEBIHAL,1
6230304, NALATAWADACSECTION,1
6230305, TALIKOTI,1
6240102, BAGALKOTRSD,1
6240103, KALADAGIACSECTION,1
6240104, BEVOORACSECTION,1
6240105, GULEDAGUDDA,1
6240106, BADAMIACSECTION,1
6240107, BELURACSECTION,1
6240108, KERURACSECTION,1
6240109, ILKAL,1
6240110, HUNAGUNDACSECTION,1
6240111, AMINAGADACSECTION,1
6240112, KAMATAGIACSECTION,1
6240201, JAMKHANDI,1
6240202, SAVALAGIACSECTION,1
6240203, MAHALINGAPUR,1
6240204, RABAKAVI,1
6240205, BANAHATTIACSECTION,1
6240206, TERDALACSECTION,1
6240301, MUDHOL,1
6240302, LOKAPUR,1
6240303, BILAGI,1
6240304, GALAGALIACSECTION,1
540076, SHIRUR PARK,1
